Section,Category,Code,Question,A,B,C,D,Correct,Answer source
Written,General biology & behaviour,Q1,What are normally the last deer to change from winter coat into summer coat?,Male deer,Young deer,Female deer,Old deer,D,Known (in app)
Written,General biology & behaviour,Q2,Which male antlered deer usually cast their antlers first?,Kids,Old animals,Perruques,Yearlings,B,Known (in app)
Written,General biology & behaviour,Q3,Under what circumstances do female deer usually give birth to their young?,In the middle of the herd for protection,Quietly and alone in cover,Out in the open where she can see danger approaching,With the buck in close attendance waiting to breed afterwards,B,Known (in app)
Written,General biology & behaviour,Q4,The antler casting cycle is mainly governed by which hormone?,Adrenaline,Testosterone,Progesterone,Oestrogen,B,Known (in app)
Written,General biology & behaviour,Q5,"For a few days after their birth, young deer generally:",Are left alone in cover by their mothers between suckling bouts,Run with their mothers from an hour or two after birth,Join in groups with other newly born deer,Are led to low ground without delay,A,Known (in app)
Written,General biology & behaviour,Q6,A female deer will not conceive unless:,She is in her home range,She reaches a certain threshold body weight,She is at least 4 years old,She has been covered by at least two males,B,Known (in app)
Written,General biology & behaviour,Q7,What is the primary limiting factor of a deer's life span?,Loss of its territory,Being killed by other deer,Its teeth wearing out so that it cannot feed efficiently,The strain of growing antlers or producing young,C,Known (in app)
Written,General biology & behaviour,Q8,A buck whose antlers in season are a spongy mass of velvet (a perruque head) should:,Be culled as it may become infected and he will probably die,Be protected and must not be shot,Be preserved as good breeding stock,Soon come into hard antler and produces a normal head,A,Known (in app)
Written,General biology & behaviour,Q9,Why do deer ruminate?,It helps them to rest,It is essential to their digestion,It is a reaction to stress,It eliminates indigestible food,B,Known (in app)
Written,General biology & behaviour,Q10,What is the preferred habitat of most species of deer in the United Kingdom?,Woodland margins,Moorland,Pasture,Wetlands,A,Known (in app)
Written,General biology & behaviour,Q11,The effect of rising numbers of deer in an area is likely to be first noticed through?,Reduced diversity of plants at ground level and increased crop damage,Reduced birth rate,Increased antler quality,Reduced birth weight,A,Known (in app)
Written,General biology & behaviour,Q12,How are deer wallows best described?,Pure and sweet smelling,Dry and dusty,Muddy and often scented with urine,Rocky with fast flowing water,C,Known (in app)
Written,General biology & behaviour,Q13,Deer under normal undisturbed conditions will:,Feed continuously all day long,Only feed at night,Feed in cycles of a few hours with peaks at dawn/dusk,Only feed in daylight,C,Known (in app)
Written,General biology & behaviour,Q14,Deer are rarely seen to drink. This is because:,They drink once every few days,They get most of the water they need from their food,In hot weather they stay in the shade,They only drink at night,B,Known (in app)
Written,General biology & behaviour,Q15,Scent glands in most UK deer are located:,Behind the ears and under the chin,"Between hooves, in corner of eye and outside hock",All along the neck and spine,On their chest and shoulders,B,Known (in app)
Written,General biology & behaviour,Q16,Fraying is the term used to describe which activity of a male deer?,Rubbing the bark from trees and shrubs with antlers,Eating the bark of trees and shrubs,Making territorial marks on the ground using hooves,Changing coat,A,Known (in app)
Written,General biology & behaviour,Q17,What is the term used to describe the covering of a deer's growing antlers?,Guard hair,Under coat/fur,Velvet,Bare skin,C,Known (in app)
Written,General biology & behaviour,Q18,A reasonable estimation of the age class of a deer when it has been killed can be gained from:,The number of points on its antler,The amount of fat around its kidneys,The amount of wear on its hooves,The amount of wear on its teeth,D,Known (in app)
Written,General biology & behaviour,Q19,"'Browsing' is the term, which describes:",Deer feeding on leaves and buds,Deer feeding on grass and herbs,Deer raiding cereal crops,Deer eating root crop,A,Known (in app)
Written,General biology & behaviour,Q20,Where are a deer's antlers shed and regrown from each year?,The burr,The coronet,The pedicle,The beam,C,Known (in app)
Written,General biology & behaviour,Q21,Which of the following descriptions apply to deer droppings?,"Often black or dark brown, shiny when fresh often with ends pointed or indented",Always perfectly cylindrical,Always round and fibrous,Pale in colour and similar to small fox droppings,A,Known (in app)
Written,The shot & after,Q22,"After the shot, a deer hunches its back and walks slowly into cover. This is a typical reaction from an animal, which has been hit in:",The heart,The lungs,The gut,The neck,C,Known (in app)
Written,The shot & after,Q23,"If you suspect that you have wounded a deer and it has disappeared from sight, what should you do?",Wait for 10-15 minutes before going forward to the place where it was standing when you shot,Wait for 1 minute before going forward to the place it was standing when shot,Go straight to where you last saw it before it disappeared,Go round behind where you last saw it and approach the place from there,A,Known (in app)
Written,The shot & after,Q24,"After the shot, the deer kicks out its hind legs and rushes into cover with neck outstretched. Traces of pink and frothy blood are found. Where has it been hit?",The heart,The lungs,The liver,The kidneys,B,Known (in app)
Written,The shot & after,Q25,"After a shot, the deer falls down and gets up almost immediately or staggers before rushing away. Only a few drops of blood, some short hair and a long splinter of bone is found. Where has it been hit?",The gut,The lungs,The leg,The spine,C,Known (in app)
Written,The shot & after,Q26,You are stalking in woodland and spot a deer from a range of about 40 metres behind a large tree. All you can see is the animal's head looking sideways. What is the recommended procedure for taking a shot?,Shoot at its eye,Wait until it exposes the chest area and take a heart/lung shot,Shoot at a point half way between the eye and base of the ear,Make a noise so it looks at you before shooting it between the eyes,B,Known (in app)
Written,The shot & after,Q27,Which is the best point of aim to ensure a humane kill at most sensible distances?,The centre of the head,Half way up the body just behind the shoulder,High in the neck,Low in the neck,B,Known (in app)
Written,The shot & after,Q28,"If you intend to shoot one deer, how much ammunition should you carry whilst stalking?",One round loaded in the rifle,One round loaded in the rifle and one in the pocket,One round loaded in the rifle and one in the magazine,"One round loaded in the rifle, more than one in the magazine and some spare in the pocket",D,Known (in app)
Written,The shot & after,Q29,What is the main purpose of stalking to within easy range of a deer?,To ensure a humane kill,To check the quality of the antlers before taking the shot,To test the stalkers ability to get in close,To increase the chances of spotting an additional shootable deer,A,Known (in app)
Written,The shot & after,Q30,What is the advantage of a telescopic sight?,Very long shots can be taken with ease,You can aim more precisely at all ranges,You do not need to carry binoculars to identify the deer,It enables you to see and shoot the deer through undergrowth,B,Known (in app)
Written,The shot & after,Q31,"Within woodlands, at what range are the majority of deer shot?",Under 100 metres,100-150 metres,150-200 metres,200-300 metres,A,Known (in app)
Written,The shot & after,Q32,A wounded stag is struggling hard but seems unable to run away and could possibly be approached. Should it be?,"Returned to later, accompanied by a dog",Shot again if safe to do so,Left to die in peace,Held down to be finished off with a knife,B,Known (in app)
Written,The shot & after,Q33,"When a deer drops instantly to the shot, what should you do?",Rush up to it ready to finish it off if it's not dead,Immediately shoot at it again where it lies,"Remain where you are, ready to shoot again and observe the animal",Unload and prepare to gralloch because it is dead for sure,C,Known (in app)
Written,The shot & after,Q34,"After successfully shooting a deer from a group, what should you do?",Stay still until the remaining deer in the immediate area have moved out of sight,Stand up and frighten the rest of the deer away quickly,Rush up and bleed the carcass before the heart has stopped beating,Drag the carcass away from the other deer as soon as possible,A,Known (in app)
Written,Safety & fieldcraft,Q35,Which of the following factors are most important for safety in the choice of a stalker's knife?,Non-slip handle,Curved blade for skinning,Appearance,Serrated blade for cutting through bone,A,Known (in app)
Written,Safety & fieldcraft,Q36,Which of the following items is the most important for a sensible stalker to carry with him whilst out stalking?,A suitable cleaning kit,A box of matches,A bottle of gun oil,A screwdriver,A,Known (in app)
Written,Safety & fieldcraft,Q37,What is the advantage in using a high seat?,The deer may not see the stalker,The deer may not smell the stalker,The shot is likely to be safer than one taken from ground level,All of the above,D,Known (in app)
Written,Safety & fieldcraft,Q38,"When stalking alone on leased ground, which of the following might you carry?",Certificate of insurance,Firearms Certificate,Permission to stalk signed by the landowner/occupier or holder of the stalking right,All of the above,D,Known (in app)
Written,Safety & fieldcraft,Q39,The use of a stick (or split sticks) as a stalking aid is:,Sensible because it makes shooting and spying steadier,Unsporting because it makes shooting too easy,Unnecessary because it is easier and quicker to shoot freehand,Tiring because it is one more heavy and awkward thing to carry,A,Known (in app)
Written,Safety & fieldcraft,Q40,"You are on a steep bank above a deer, which shooting position is likely to be the most comfortable and stable?",Prone,Sitting,Freehand,Standing,B,Known (in app)
Written,Safety & fieldcraft,Q41,When should the bolt be removed from the rifle whilst stored in the home?,All the time to avoid its use by an unauthorised person e.g. child/thief,Only when you wish to clean the bolt,Only when necessary to avoid a build-up of condensation,Occasionally to ease pressure on the striker spring,A,Known (in app)
Written,Safety & fieldcraft,Q42,When should you take off the safety catch whilst deer stalking?,When you load the rifle and set off with it safely slung over your shoulder,When you start the final approach on a stalk,When you enter thick cover and silence is essential,When you are in the aim and about to squeeze the trigger,D,Known (in app)
Written,Safety & fieldcraft,Q43,Someone offers you a rifle with the bolt closed. What should you do?,Refuse to accept the rifle until he/she proves that it is unloaded,Take the rifle and ask him/her if it is loaded before pulling the trigger to check,Point it in a safe direction and pull the trigger to check,Open the bolt and look inside to prove it empty,A,Known (in app)
Written,Safety & fieldcraft,Q44,When shooting deer in woods or on level ground safety can be improved by?,Lying down to take every shot,Using a high seat,Only shooting at deer with a screen of bushes behind them to break up the bullets,Only shooting into open spaces e.g. down rides,B,Known (in app)
Written,Safety & fieldcraft,Q45,"If you accidentally plug your barrel with peat or snow, what should you do?",Fire a shot to clear it,Carry on and take more care of your rifle,Unload all cartridges at once and properly clean the bore,Push the obstruction down the barrel as far from the muzzle as possible,C,Known (in app)
Written,Safety & fieldcraft,Q46,"When approaching a deer you have shot and that you believe to be dead, what should your first action be?",Stick a knife into the base of the neck to bleed it,Make sure it is dead by touching an eyeball and watching for 'eye-blink' reaction,Grab the back leg to restrain it in case it is still alive,Shoot it in the head to make sure it is dead,B,Known (in app)
Written,Safety & fieldcraft,Q47,"If you have to shoot an injured deer at close range, what should you do?",Lie down to ensure a steady shot at the neck outlined clearly against the sky,Get close enough so you can rest the rifle muzzle against the deer's skin,Ensure there is a soft safe backstop behind the deer to stop the bullet,Get someone to hold a leg to keep the animal still,C,Known (in app)
Written,Safety & fieldcraft,Q48,A safe backstop is required before you take a shot at a deer. What is the best form of backstop?,"Clear air, i.e. a silhouette target with nothing behind the deer",A dense screen of bushes and scrub which will absorb the bullet,A belt of trees or a thick plantation,A rising bank of soft ground,D,Known (in app)
Written,Safety & fieldcraft,Q49,When stalking deer in thick cover should you?,"Use a slow, heavy calibre bullet to cut through the twigs and underbrush",Use a fast light calibre bullet to cut through the twigs and underbrush,Use solid (full metal jacket) bullets to avoid bullet break-up on twigs,Not take any shots at deer that are not fully visible and without a safe backstop,D,Known (in app)
Written,Safety & fieldcraft,Q50,What is the maximum distance that a bullet from a deer rifle might travel if there is no solid backstop?,500-1000 metres,3500-5000 metres,5500-6000 metres,"10,000 metres",B,Known (in app)
Written,Safety & fieldcraft,Q51,When crawling towards deer with a companion what best describes the recommended condition for the rifles?,Only the leader's rifle should be loaded and pointing forwards,Both rifles should be loaded in case other deer appear behind you,Neither rifle should be loaded until the firing position is reached,"Only the second person should have a loaded rifle, the leader should be selecting the route",A,Known (in app)
Written,Safety & fieldcraft,Q52,Stalking in fog is:,Easy because you can approach the deer unseen,Dangerous because you cannot be sure of a safe backdrop,Safer because walkers will not be on the hill,More exciting because you cannot be sure where the deer are,B,Known (in app)
Written,Safety & fieldcraft,Q53,Carrying a rifle with the firing pin resting on a chambered round is:,Always dangerous and must never be done,Acceptable only in woodland stalking,Acceptable if the rifle is in its case,Acceptable if the safety catch is applied thus locking the bolt,A,Known (in app)
Written,Safety & fieldcraft,Q54,Before you climb into a high seat what should you do?,Ensure that the rifle is loaded in case you see a deer as you climb the ladder,Cut some branches to improve your concealment as you climb,Check the ladder and seat for damage and unload your rifle before climbing into the seat,Rest the loaded rifle against the base of the seat and pull it up on a cord when you are safely seated,C,Known (in app)
Written,Law & firearms,Q55,In England and Wales what is the minimum muzzle energy required from a rifle to be legal for stalking all species of deer?,1600 ft/lbs (2168 joules),1700 ft/lbs (2305 joules),1750 ft/lbs (2373 joules),1800 ft/lbs (2439 joules),B,Known (in app)
Written,Law & firearms,Q56,In England and Wales which of the following rifle and ammunition combinations Is ILLEGAL for use to kill deer?,.222 Remington 45gr hollow point bullet (ME: 1000 ft lbs/1356 joules),.243 Winchester 100gr soft nose bullet (ME: 2090 ft lbs/2831 joules),30-30 Winchester 170gr soft nose bullet (ME: 1765 ft lbs/2397 joules),30-06 Springfield 180gr soft nose bullet (ME: 2914 ft lbs/3948 joules),A,Known (in app)
Written,Law & firearms,Q57,"In England and Wales it is illegal to shoot any deer at night unless injured. How is ""night"" defined in law?",When you cannot read a car number plate at 25 metres,Between one hour after sunset and one hour before sunrise,"During official ""lighting up time"" as published in the local newspapers",Between 2000 hours GMT and 0800 hours GMT,B,Known (in app)
Written,Law & firearms,Q58,Red stags are grazing on the edge of an airfield during the hours of darkness. The deer pose a threat to public safety if they are not dealt with. Who in England would issue a night shooting licence:,Defra,Civil Aviation Authority,Natural England,The airport owners,C,Known (in app)
Written,Law & firearms,Q59,"If you wish to net or trap deer in England from whom, is permission obtained?",You can net or trap wild deer without permission,The owner of the land where the deer are to be trapped,The Forestry Commission,Through Natural England,D,Known (in app)
Written,Law & firearms,Q60,"If you wish to net or trap deer in Wales from whom, is permission obtained?",You can net or trap wild deer without permission,The owner of the land where the deer are to be trapped,The Forestry Commission,Natural Resources Wales,D,Known (in app)
Written,Law & firearms,Q61,What is the minimum legal calibre for a roe deer rifle in England and Wales?,".222""",".243""",".240""",".270""",C,Known (in app)
Written,Law & firearms,Q62,What is the minimum legal calibre for a muntjac and CWD deer rifle in England and Wales?,".220""",".243""",".240""",".270""",A,Known (in app)
Written,Law & firearms,Q63,"In England, where would you go to for the definitive up to date male Roe season?",Natural Resources Wales,NatureScot,Natural England,"Department of Agriculture, Environment and Rural Affairs",C,Known (in app)
Written,Law & firearms,Q64,"In Wales, where would you go to for the definitive up to date male Red season?",Natural Resources Wales,Natural England,"Department of Agriculture, Environment and Rural Affairs",NatureScot,A,Known (in app)
Written,Law & firearms,Q65,"In Wales, where would you go to for the definitive up to date male Fallow season?",Natural England,Natural Resources Wales,NatureScot,"Department of Agriculture, Environment and Rural Affairs",B,Known (in app)
Written,Law & firearms,Q66,"In England, where would you go to for the definitive up to date male Sika season?",Natural Resources Wales,"Department of Agriculture, Environment and Rural Affairs",NatureScot,Natural England,D,Known (in app)
Written,Law & firearms,Q67,"In Wales, where would you go to for the definitive up to date Red hind season?",Natural Resources Wales,Natural England,"Department of Agriculture, Environment and Rural Affairs",NatureScot,A,Known (in app)
Written,Law & firearms,Q68,"In England, where would you go to for the definitive up to date Sika hind season?",Natural Resources Wales,NatureScot,Natural England,"Department of Agriculture, Environment and Rural Affairs",C,Known (in app)
Written,Law & firearms,Q69,"In Wales, where would you go to for the definitive up to date Fallow doe season?",Natural England,Natural Resources Wales,NatureScot,"Department of Agriculture, Environment and Rural Affairs",B,Known (in app)
Written,Law & firearms,Q70,"In England, where would you go to for the definitive up to date Roe doe season?",Natural England,"Department of Agriculture, Environment and Rural Affairs",NatureScot,Natural Resources Wales,A,Known (in app)
Written,Law & firearms,Q71,"In England, where would you go to for the definitive up to date Chinese Water Deer doe season?",Natural England,Natural Resources Wales,"Department of Agriculture, Environment and Rural Affairs",NatureScot,A,Known (in app)
Written,Law & firearms,Q72,In England and Wales in certain circumstances shotguns firing non-spherical projectiles (slug) weighing more than 350 grains or certain shot may be used to kill deer which are not injured but doing serious damage to crops. Which of the following may be used?,A 20 bore shotgun or larger with AAA shot or legal slug,A 12 bore shotgun or larger with SSG shot only,A 12 bore shotgun or larger with AAA shot only or legal slug,A .410 bore but with slug only,C,Known (in app)
Written,Law & firearms,Q73,Under what circumstances is it legal for an occupier to shoot uninjured deer out of season in England?,If you were unable to do so in the open season due to illness (certified by a doctor),"If deer of the same species are seriously damaging your agricultural crops and you cannot prevent further damage by other means, and you shoot them where the damage is occurring",If the game keeper would not let you do so in the open season due to risk of disturbing the pheasant shooting,If they are eating all the bluebells and other wild flowers,B,Known (in app)
Written,Law & firearms,Q74,In England what type of appropriate calibre rifle bullets may legally be used to kill deer?,Any soft nosed or hollow nosed bullet,Any bullet weighing over 50 grains,Any bullet with a metal jacket totally covering the lead core,Only a bullet over 100 grains with a metal jacket totally covering the lead core,A,Known (in app)
Written,Law & firearms,Q75,Shooting deer from a vehicle in England & Wales is?,Legal anywhere,Only legal from a stationary vehicle with the engine switched off,Legal at night without the occupier's written permission but with a DEFRA permit,Illegal in all circumstances,B,Known (in app)
Written,Law & firearms,Q76,Which of the following is illegal to use for shooting muntjac in England & Wales?,A .222 and 50 grain soft nosed ammunition,Any rifle and bullet combination legal for other species of deer,A .22 LR with hollow-point bullets,A 5.56 mm using 50 grain soft-nosed or hollow-point bullets,C,Known (in app)
Written,Law & firearms,Q77,You stalk a roe doe and her buck kid during January in England. You intend to cull the doe can you also cull the buck kid?,No roe bucks are out of season in January,No unless you have a license to shoot out of season,Yes if the landowner tells you too,Yes the law allows dependent young to be culled in such circumstances,D,Known (in app)
Written,Law & firearms,Q78,"In Scotland, where would you go to for the definitive up to date Red hind season?",Natural England,Natural Resources Wales,NatureScot,"Department of Agriculture, Environment and Rural Affairs",C,Known (in app)
Written,Law & firearms,Q79,"In Scotland, where would you go to for the definitive up to date Sika hind season?",NatureScot,Natural Resources Wales,Natural England,"Department of Agriculture, Environment and Rural Affairs",A,Known (in app)
Written,Law & firearms,Q80,"In Scotland, where would you go to for the definitive up to date Fallow doe season?",Natural Resources Wales,NatureScot,"Department of Agriculture, Environment and Rural Affairs",Natural England,B,Known (in app)
Written,Law & firearms,Q81,"In Scotland, where would you go to for the definitive up to date Roe doe season?",Natural England,"Department of Agriculture, Environment and Rural Affairs",Natural Resources Wales,NatureScot,D,Known (in app)
Written,Law & firearms,Q82,"To sell venison legally in Scotland, a person who is not a licensed venison dealer:",Can only sell to licensed Venison dealer,Must own the land where it was shot and keep records,May sell it to an hotel or restaurant or butchers shop even if it does not have a venison dealer's license,May barter it for something else,A,Known (in app)
Written,Law & firearms,Q83,Which is the statutory body responsible for the conservation and control of deer in Scotland?,The Forestry Commission,The British Deer Society,The Association of Deer Management Groups,NatureScot,D,Known (in app)
Written,Law & firearms,Q84,What is the minimum legal muzzle velocity allowed for a bullet to shoot deer in Scotland?,1700 ft/sec,1750 ft/sec,1900 ft/sec,2450 ft/sec,D,Known (in app)
Written,Law & firearms,Q85,What is the minimum legal bullet weight for use on sika deer in Scotland?,50 grains,75 grains,80 grains,100 grains,C,Known (in app)
Written,Law & firearms,Q86,What is the minimum legal muzzle energy of a bullet for use on red deer in Scotland?,1000 ft/lbs,1700 ft/lbs,1750 ft/lbs,2450 ft/lbs,C,Known (in app)
Written,Law & firearms,Q87,Shooting any species of deer in Scotland is allowed on a Sunday:,Under no circumstances,Only if the shooting would be legal on any other day of the week,Only if authorised by a Church Official,Only with permission from the Police,B,Known (in app)
Written,Law & firearms,Q88,"Under what circumstances may a deer be killed in England, Scotland and Wales with a .22 rimfire without breaking the law?",When it is marauding in a suburban garden,By a foreign visitor,At night using a spotlight,When injured to prevent further suffering,D,Known (in app)
Written,Law & firearms,Q89,"If serious deer damage to crops or trees is being suffered by foresters or tenant farmers on fenced land in Scotland, what are their legal options?",They can shoot deer at night without permission,They can shoot deer at night with the landowner's written permission,They can apply to NatureScot for a night shooting permit,They can trap or snare the deer concerned because shooting at night is not allowed,C,Known (in app)
Written,Law & firearms,Q90,In Scotland the use of a Thermal Imaging or Image Intensifying sight at night is,Illegal under any circumstance,Has no restrictions,Legal with authorisation from NatureScot,Legal if you can't get out during daylight hours,C,Known (in app)
Written,Law & firearms,Q91,In Scotland a Thermal Imaging or Image Intensifying sight,Can only be used within the hours defined as daylight,Can be used at night with authorisation from NatureScot,Is illegal only Thermal Imaging or Image Intensifying spotting scopes are allowed,Can be used at night with permission from the landowner,B,Known (in app)
Written,Law & firearms,Q92,Deer marauding into crops in Scotland may legally be?,Snared,Shot using any firearm/ammunition legal for that species under normal circumstances,Shot using any shotgun and size of shot,Shot using a 12 bore loaded with a single spherical ball,B,Known (in app)
Written,Law & firearms,Q93,"As a land owner or holder of the shooting rights, you can release big red stags on your land to improve the wild stock?",Anywhere in Scotland,Nowhere in Scotland,Anywhere except the Hebrides and some Western Isles,Anywhere with permission from NatureScot,C,Known (in app)
Written,Law & firearms,Q94,Who issues Firearms Certificates in Scotland?,NatureScot,The Scottish Office,Police Scotland,The local District Council,C,Known (in app)
Written,Law & firearms,Q95,"In England, Scotland and Wales if a deer has been injured on the road?",It may be killed at night or out of season without permission by any means,Only a RSPCA officer may kill it out of season,The police must be called to authorise its humane dispatch at night,Only the landowner may kill it,A,Known (in app)
Written,Law & firearms,Q96,You are visiting an estate in Scotland to stalk Stags in August. The stalker tells you to shoot a red hind (out of season) because it is marauding on some turnips:,You may do so only if it is actually in the turnip field,You may only do so if you are specifically named on a NatureScot authorisation,You may only do so if you have actually seen the damage yourself and judge it to be serious,It would be legal for a paying guest to do so under the stalkers guidance,B,Known (in app)
Written,Law & firearms,Q97,"What is the minimum bullet weight, which may be legally used to shoot roe deer only in Scotland?",50 grains,55 grains,90 grains,100 grains,A,Known (in app)
Written,Law & firearms,Q98,"What is the minimum legal muzzle energy allowed for a bullet to shoot roe deer only, in Scotland?",950 ft/lbs,1000 ft/lbs,1500 ft/lbs,1750 ft/lbs,B,Known (in app)
Written,Law & firearms,Q99,Your deer rifle needs adjusting by a gunsmith but you are busy. What are your legal options?,You can tell your partner to take it in as long as he/she is over 17 and takes your Firearm Certificate with him/her,You can send it by normal parcel post,You can send it by a firearms registered carrier,You can tell anyone over 21 to take it in as long as they have your FAC with them and your instructions in writing,C,Known (in app)
Written,Law & firearms,Q100,Why have muntjac no legal Close Season in Britain?,They have the status of pests and must be shot on sight,They breed all the year round and therefore a Close Season will not protect new-born fawns,You cannot tell the sexes apart so could not obey a Close Season,The fawns are self sufficient from birth therefore do not need parental support,B,Known (in app)
Written,Law & firearms,Q101,Under what circumstances can you have a rifle and ammunition for it in your car on the public road?,At any time in case you find a deer injured by a traffic accident,If you can prove you have lawful authority and reasonable excuse,If you are visiting a farm where you hope to get permission to stalk,If you have the bolt removed from the rifle,B,Known (in app)
Written,Law & firearms,Q102,What is the legal position in regard to shooting deer with a bow and specially designed hunting arrows?,It is not legal anywhere in UK,It is only legal in an enclosed deer park,It is legal in Scotland but not England or Wales,It is legal for foreigners with a permit from the Tourist Board,A,Known (in app)
Written,Law & firearms,Q103,Who owns wild deer while they are alive?,The owner of the land on which they are found,The Government,The holder of the deer stalking rights over the land on which they are found,No one,D,Known (in app)
Written,Law & firearms,Q104,From where would you obtain written permission to shoot deer on land which does not belong to you?,The Police,DEFRA,Holder of the deer stalking rights,The Local County Council,C,Known (in app)
Written,Law & firearms,Q105,If you are unable to produce your Firearm Certificate when a Police Officer asks you for it?,He/she may legally seize and hold your firearms until you produce it,He/she may require that you produce your certificate at a police station within 24 hours,You are liable to prosecution for failure to carry a valid certificate with you,He/she must accept a photocopy of your certificate instead,A,Known (in app)
Written,Law & firearms,Q106,In the UK where may you release sika into the wild?,Anywhere with the landowner's permission,Anywhere except England and Wales,Not at All,"Under license, but excluding the Western Isles",D,Known (in app)
Written,Law & firearms,Q107,Which of the following types of full bore rifle is illegal in the United Kingdom?,Lever action rifle,Single shot rifle,Bolt action rifle,Semi automatic rifle,D,Known (in app)
Written,Law & firearms,Q108,"Your stalking partner has asked you to store his rifle in your gun cabinet whilst he is on holiday, because there have been a number of burglaries in the area. What is the legal position?",You may do so for up to three weeks,You may do so only if you inform the police by registered letter within seven days,You may not do so only if he removes the bolt so that you cannot use the rifle illegally,You may do so only if your FAC has his rifle entered on it,D,Known (in app)
Written,Law & firearms,Q109,"Your 14 year old son passed the written assessment of the Deer Stalking Certificate (Level One) and shoots well with a .22"" in the Cadet Corps. He now wants to go deer stalking but has no Firearm Certificate. What are your legal options? (not used In Northern Ireland)","He can use your rifle, once he has first obtained a Firearms Certificate for that rifle",You can lend him your rifle without a Certificate as long as you supervise him closely,You can allow him to buy a rifle himself having first obtained a Firearms Certificate,You send him out under supervision of a local game keeper whose estate rifle he will borrow,A,Known (in app)
Written,Law & firearms,Q110,The holder of a Firearm Certificate may legally:,Purchase a rifle or ammunition when they are 14,Purchase a rifle or ammunition when they are 16,Purchase a rifle or ammunition when they are 17,Purchase a rifle or ammunition when they are 18,D,Known (in app)
Written,Law & firearms,Q111,A heart shot deer runs 80 metres before falling dead in the middle of a neighbour's field. What are your legal options?,You can retrieve it without asking permission,"You can retrieve it without asking permission, but only if you leave your rifle on your side of the boundary",You can retrieve it only with permission from the neighbour,You can retrieve it only if you can prove that it was shot on your side of the boundary if anyone stops you,C,Known (in app)
Written,Law & firearms,Q112,An injured Muntjac deer taken into animal sanctuary and now fully recovered,May be released but only after it has been certified fit and healthy by a vet,May never be released back into the wild,May be released with permission from the County Council,May be released but only within 2 KM of where it was taken,B,Known (in app)
Written,Law & firearms,Q113,You have bought a farm and woods in North Wales but there are no deer on it and you would like to investigate a release programme. Which of the following best describes the option open to you?,You may release any species of deer there without permission,You may not release any deer there without permission,"You may only release red, roe or fallow deer without a license",You can get permission from DEFRA to release any deer there,C,Known (in app)
Written,Law & firearms,Q114,"What is the minimum bullet weight, which may be legally used to take deer in Northern Ireland?",50 grains,80 grains,100 grains,130 grains,C,Known (in app)
Written,Law & firearms,Q115,Within Northern Ireland (NI) what is the primary legislation giving protection to deer?,The Firearms (NI) Order 2004 and subsequent amendments,The Wildlife (NI) Order 1985 and subsequent amendments,The Deer Act 1991,The Wildlife and Countryside Act 1981 and subsequent amendments,B,Known (in app)
